,F1_Score,Cohen_Kappa,AUC_Score,Accuracy,Time_ms
0,0.32189281174396195,0.22261062083888106,0.5869434183096396,0.7737880280148829,50.0
1,0.37844128912118846,0.29694326369660473,0.6138869914074712,0.7991012803676953,75.0
2,0.47290788117327337,0.37306638587703933,0.6536274853872233,0.8076507441453272,100.0
3,0.5220966832232594,0.42485141502126766,0.6781189796555274,0.820344987962355,125.0
4,0.598283810148656,0.5066630744053483,0.7193606538831872,0.8408637010286715,150.0
5,0.6111384083631249,0.5190377439613181,0.7273695323602798,0.8430250054716568,175.0
6,0.6561162806493241,0.5750180264425302,0.7515484123457133,0.8614850076603195,200.0
7,0.681211498973306,0.6071738537394498,0.7643432597409511,0.8725787918581747,225.0
8,0.6891127788629587,0.6171035195566814,0.7684431938908718,0.8759028233749179,250.0
9,0.7047674738580076,0.636899001443081,0.7764107593513285,0.8825919238345371,275.0
10,0.7057769507761754,0.6383837546234097,0.7767503530713835,0.8832006456555045,300.0
11,0.7104803719901126,0.6446073821112843,0.7788807039207607,0.8854440249507551,325.0
12,0.7135151955191371,0.6483442605230856,0.7804823879970002,0.8866546290216678,350.0
13,0.7153178691188163,0.6505386418388772,0.7814558297187156,0.8873522652659225,375.0
14,0.7122670915010043,0.6470399729528357,0.7796242176686525,0.8863536878966951,400.0
15,0.7161923861553888,0.6516396308135575,0.781895927267102,0.8877216021011162,425.0
16,0.71543928207079,0.650735897774801,0.7814778303768305,0.8874411796892099,450.0
17,0.7158295149995678,0.651210275229951,0.7816890608050452,0.8875916502516962,475.0
18,0.7155084467345634,0.6508207890921067,0.7815145503793612,0.8874685379732983,500.0
19,0.7147478591817317,0.6499517366774197,0.7810542845564398,0.8872223134165025,525.0
20,0.7145724469668132,0.649761835503126,0.7809390372733823,0.8871744364193478,550.0
21,0.7134225515486228,0.6484272513677435,0.7802628154014347,0.8867845808710878,575.0
22,0.7134966669552419,0.6485320713907294,0.7802900841623422,0.8868256182972204,600.0
